Source,created by,Type,Story ID,Question ID,Story,Question,Answer
Baron-Cohen et al. (1999),Experts,FauxPas,10f,3,"Helen's mum was having a surprise party for Helen's birthday. She invited Nicky and said, ""Don't tell anyone, especially Helen!"" The day before the party Nicky and Helen were playing together and Nicky ripped her new dress. ""Oh!"" said Nicky, ""I was going to wear this to your party."" ""What party?"" said Helen. ""Come on,"" said Nicky ""Let's go and see if my mum can mend the tear.""","Who was the surprise party for? Answer the question only, without explanations.",The surprise party was for Helen.
Baron-Cohen et al. (1999),Experts,FauxPas,10f,4,"Helen's mum was having a surprise party for Helen's birthday. She invited Nicky and said, ""Don't tell anyone, especially Helen!"" The day before the party Nicky and Helen were playing together and Nicky ripped her new dress. ""Oh!"" said Nicky, ""I was going to wear this to your party."" ""What party?"" said Helen. ""Come on,"" said Nicky ""Let's go and see if my mum can mend the tear.""","Did Nicky remember the party was a surprise? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,10c,1,"Annette's mum was having a surprise party for Annette's birthday. She invited Bridget and said to her. ""Don't tell anyone, especially not Annette!"" The day before the party Annette and Bridget were playing together and Annette ripped her new shirt. ""Oh!"" said Annette, ""My mother will be cross."" ""Don't worry"" said Bridget. ""Let's go and see if my mum can mend the tear.""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,10c,2,"Annette's mum was having a surprise party for Annette's birthday. She invited Bridget and said to her. ""Don't tell anyone, especially not Annette!"" The day before the party Annette and Bridget were playing together and Annette ripped her new shirt. ""Oh!"" said Annette, ""My mother will be cross."" ""Don't worry"" said Bridget. ""Let's go and see if my mum can mend the tear.""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Baron-Cohen et al. (1999),Experts,Control,10c,3,"Annette's mum was having a surprise party for Annette's birthday. She invited Bridget and said to her. ""Don't tell anyone, especially not Annette!"" The day before the party Annette and Bridget were playing together and Annette ripped her new shirt. ""Oh!"" said Annette, ""My mother will be cross."" ""Don't worry"" said Bridget. ""Let's go and see if my mum can mend the tear.""","Who was the surprise party for? Answer the question only, without explanations.",The surprise party was for Annette.
Baron-Cohen et al. (1999),Experts,Control,10c,4,"Annette's mum was having a surprise party for Annette's birthday. She invited Bridget and said to her. ""Don't tell anyone, especially not Annette!"" The day before the party Annette and Bridget were playing together and Annette ripped her new shirt. ""Oh!"" said Annette, ""My mother will be cross."" ""Don't worry"" said Bridget. ""Let's go and see if my mum can mend the tear.""","Did Annette know there was a surprise party planned? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),Experts,FauxPas,11f,1,"Jeff, a young lawyer, was in an interview with a law firm. When he finished the interview tired he sank into one of the couches in the lobby. Sarah and Tim, the executives who interviewed him, went out of the room and into the lobby while Tim said: ""This candidate is really good."" Sarah added: ""He asked for 179K, could have asked for much more. We need to make him an offer quickly at the salary he asked for"". Tim saw Jeff and said ""Well why don't we go drink a cup of coffee.""	","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),Experts,FauxPas,11f,2,"Jeff, a young lawyer, was in an interview with a law firm. When he finished the interview tired he sank into one of the couches in the lobby. Sarah and Tim, the executives who interviewed him, went out of the room and into the lobby while Tim said: ""This candidate is really good."" Sarah added: ""He asked for 179K, could have asked for much more. We need to make him an offer quickly at the salary he asked for"". Tim saw Jeff and said ""Well why don't we go drink a cup of coffee.""	",What did they say that they should not have said? Answer with a quote only without explanations.,"""He asked for 179K could have asked for much more. We need to make him an offer quickly at the salary he asked for"""
Shapira et al. (2023),Experts,FauxPas,11f,3,"Jeff, a young lawyer, was in an interview with a law firm. When he finished the interview tired he sank into one of the couches in the lobby. Sarah and Tim, the executives who interviewed him, went out of the room and into the lobby while Tim said: ""This candidate is really good."" Sarah added: ""He asked for 179K, could have asked for much more. We need to make him an offer quickly at the salary he asked for"". Tim saw Jeff and said ""Well why don't we go drink a cup of coffee.""	",Who was interviewed? Answer the question only without explanations.,Jeff
Shapira et al. (2023),Experts,FauxPas,11f,4,"Jeff, a young lawyer, was in an interview with a law firm. When he finished the interview tired he sank into one of the couches in the lobby. Sarah and Tim, the executives who interviewed him, went out of the room and into the lobby while Tim said: ""This candidate is really good."" Sarah added: ""He asked for 179K, could have asked for much more. We need to make him an offer quickly at the salary he asked for"". Tim saw Jeff and said ""Well why don't we go drink a cup of coffee.""	","Did Sarah know Jeff is sitting on one of the couches in the lobby? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,11c,1,"Jeff, a young lawyer, was in an interview with a law firm. When he finished the interview	 tired he sank into one of the couches in the lobby. Sarah and Tim, the executives who interviewed him, went out of the room and into the lobby while Tim said: ""Let's go to lunch"". Sarah added: ""I'm ready"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,11c,2,"Jeff, a young lawyer, was in an interview with a law firm. When he finished the interview	 tired he sank into one of the couches in the lobby. Sarah and Tim, the executives who interviewed him, went out of the room and into the lobby while Tim said: ""Let's go to lunch"". Sarah added: ""I'm ready"".",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),Experts,Control,11c,3,"Jeff, a young lawyer, was in an interview with a law firm. When he finished the interview	 tired he sank into one of the couches in the lobby. Sarah and Tim, the executives who interviewed him, went out of the room and into the lobby while Tim said: ""Let's go to lunch"". Sarah added: ""I'm ready"".",Who interviewed Jeff? Answer the question only without explanations.,Sarah and Tim
Shapira et al. (2023),Experts,Control,11c,4,"Jeff, a young lawyer, was in an interview with a law firm. When he finished the interview	 tired he sank into one of the couches in the lobby. Sarah and Tim, the executives who interviewed him, went out of the room and into the lobby while Tim said: ""Let's go to lunch"". Sarah added: ""I'm ready"".","Did Sarah know Jeff is sitting on one of the couches in the lobby? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),Experts,FauxPas,12f,1,"Dennis is a young songwriter trying hard to get some of his songs to the radio. His friend Alice meets him in the bar and he lets her hear his new song on his phone. ""Wow"" says Alice ""this is some badass stuff!"" She's playing it out aloud just as their friend Tim comes in and joins them. ""What's that thing you're listening to Alice? Let's hear something better"" He asks with a smile.","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),Experts,FauxPas,12f,2,"Dennis is a young songwriter trying hard to get some of his songs to the radio. His friend Alice meets him in the bar and he lets her hear his new song on his phone. ""Wow"" says Alice ""this is some badass stuff!"" She's playing it out aloud just as their friend Tim comes in and joins them. ""What's that thing you're listening to Alice? Let's hear something better"" He asks with a smile.",What did they say that they should not have said? Answer with a quote only without explanations.,"""What's that thing you're listening to Alice? Let's hear something better"""
Shapira et al. (2023),Experts,FauxPas,12f,3,"Dennis is a young songwriter trying hard to get some of his songs to the radio. His friend Alice meets him in the bar and he lets her hear his new song on his phone. ""Wow"" says Alice ""this is some badass stuff!"" She's playing it out aloud just as their friend Tim comes in and joins them. ""What's that thing you're listening to Alice? Let's hear something better"" He asks with a smile.",Who is a young songwriter? Answer the question only without explanations.,Dennis
Shapira et al. (2023),Experts,FauxPas,12f,4,"Dennis is a young songwriter trying hard to get some of his songs to the radio. His friend Alice meets him in the bar and he lets her hear his new song on his phone. ""Wow"" says Alice ""this is some badass stuff!"" She's playing it out aloud just as their friend Tim comes in and joins them. ""What's that thing you're listening to Alice? Let's hear something better"" He asks with a smile.","Did Tim know that Alice is listening to Dannis's song? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,12c,1,"Dennis is a young songwriter trying hard to get some of his songs to the radio. His friend Alice meets him in the bar and he lets her hear his new song on his phone. ""Wow"" says Alice ""this is some badass stuff!"" She's playing it out aloud just as their friend Tim comes in and joins them. ""What's that thing you're listening to Alice?"" He asks with a smile.""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,12c,2,"Dennis is a young songwriter trying hard to get some of his songs to the radio. His friend Alice meets him in the bar and he lets her hear his new song on his phone. ""Wow"" says Alice ""this is some badass stuff!"" She's playing it out aloud just as their friend Tim comes in and joins them. ""What's that thing you're listening to Alice?"" He asks with a smile.""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),Experts,Control,12c,3,"Dennis is a young songwriter trying hard to get some of his songs to the radio. His friend Alice meets him in the bar and he lets her hear his new song on his phone. ""Wow"" says Alice ""this is some badass stuff!"" She's playing it out aloud just as their friend Tim comes in and joins them. ""What's that thing you're listening to Alice?"" He asks with a smile.""",Who is a young songwriter? Answer the question only without explanations.,Dennis
Shapira et al. (2023),Experts,Control,12c,4,"Dennis is a young songwriter trying hard to get some of his songs to the radio. His friend Alice meets him in the bar and he lets her hear his new song on his phone. ""Wow"" says Alice ""this is some badass stuff!"" She's playing it out aloud just as their friend Tim comes in and joins them. ""What's that thing you're listening to Alice?"" He asks with a smile.""","Did Tim know that Alice is listening to Dennis's song? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),Experts,FauxPas,13f,1,"Abby's father publishes short stories in the newspaper every week. She told him ""Dad  I want to learn how to write just like you!"" and he replied: ""Well then my dear why don't you go to a writing class?"" Abby goes to a first lesson in a class she found and David the teacher says: ""Today we'll look at some bad and good examples of story-writing"". He shows the class a story Abby's father wrote last week and says: ""And now I'll give you a good example of the writer Pichnik and you will say what the differences are.""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),Experts,FauxPas,13f,2,"Abby's father publishes short stories in the newspaper every week. She told him ""Dad  I want to learn how to write just like you!"" and he replied: ""Well then my dear why don't you go to a writing class?"" Abby goes to a first lesson in a class she found and David the teacher says: ""Today we'll look at some bad and good examples of story-writing"". He shows the class a story Abby's father wrote last week and says: ""And now I'll give you a good example of the writer Pichnik and you will say what the differences are.""",What did they say that they should not have said? Answer with a quote only without explanations.,"""And now I'll give you a good example of the writer Pichnik and you will say what the differences are."""
Shapira et al. (2023),Experts,FauxPas,13f,3,"Abby's father publishes short stories in the newspaper every week. She told him ""Dad  I want to learn how to write just like you!"" and he replied: ""Well then my dear why don't you go to a writing class?"" Abby goes to a first lesson in a class she found and David the teacher says: ""Today we'll look at some bad and good examples of story-writing"". He shows the class a story Abby's father wrote last week and says: ""And now I'll give you a good example of the writer Pichnik and you will say what the differences are.""",What job does David do? Answer the question only without explanations.,Writing class teacher
Shapira et al. (2023),Experts,FauxPas,13f,4,"Abby's father publishes short stories in the newspaper every week. She told him ""Dad  I want to learn how to write just like you!"" and he replied: ""Well then my dear why don't you go to a writing class?"" Abby goes to a first lesson in a class she found and David the teacher says: ""Today we'll look at some bad and good examples of story-writing"". He shows the class a story Abby's father wrote last week and says: ""And now I'll give you a good example of the writer Pichnik and you will say what the differences are.""","Did David know that Abby's father published the short story in the newspaper? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,13c,1,"Abby's father publishes short stories in the newspaper every week. She told him ""Dad I want to learn how to write just like you!"" and he replied: ""Well then my dear why don't you go to a writing class?"" Abby goes to a first lesson in a class she found and David the teacher says: ""Today we'll look at some bad and good examples of story-writing"". He shows the class a story Abby's father wrote last week and says: ""This is a good example of a writer"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,13c,2,"Abby's father publishes short stories in the newspaper every week. She told him	 ""Dad	 I want to learn how to write just like you!"" and he replied: ""Well then my dear why don't you go to a writing class?"" Abby goes to a first lesson in a class she found	and David the teacher says: ""Today we'll look at some bad and good examples of story-writing"". He shows the class a story Abby's father wrote last week and says: ""This is a good example of a writer"".",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),Experts,Control,13c,3,"Abby's father publishes short stories in the newspaper every week. She told him	 ""Dad	 I want to learn how to write just like you!"" and he replied: ""Well then my dear why don't you go to a writing class?"" Abby goes to a first lesson in a class she found	and David the teacher says: ""Today we'll look at some bad and good examples of story-writing"". He shows the class a story Abby's father wrote last week and says: ""This is a good example of a writer"".",What does Abby's father do? Answer the question only without explanations.,"Publishes short stories in the newspaper every week						"
Shapira et al. (2023),Experts,Control,13c,4,"Abby's father publishes short stories in the newspaper every week. She told him	 ""Dad	 I want to learn how to write just like you!"" and he replied: ""Well then my dear why don't you go to a writing class?"" Abby goes to a first lesson in a class she found	and David the teacher says: ""Today we'll look at some bad and good examples of story-writing"". He shows the class a story Abby's father wrote last week and says: ""This is a good example of a writer"".","Did David know that Abby's father published the short story in the newspaper? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),Experts,FauxPas,14f,1,"Michelle's mother bought her niece a new dress as a gift for her 20 years old birthday. She placed it on the chair in the kitchen and while arranging the table she called ""Michelle get ready for dinner"". Michelle went down and immediately noticed the dress - ""Mom! What a beautiful dress! I look forward to wearing it. Thank you!!!"". Michelle's mother said: ""Oh.. Michelle it's for Ayala"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),Experts,FauxPas,14f,2,"Michelle's mother bought her niece a new dress as a gift for her 20 years old birthday. She placed it on the chair in the kitchen and while arranging the table she called ""Michelle get ready for dinner"". Michelle went down and immediately noticed the dress - ""Mom! What a beautiful dress! I look forward to wearing it. Thank you!!!"". Michelle's mother said: ""Oh.. Michelle it's for Ayala"".",What did they say that they should not have said? Answer with a quote only without explanations.,"""Mom! What a beautiful dress! I look forward to wearing it. Thank you!!!""."
Shapira et al. (2023),Experts,FauxPas,14f,3,"Michelle's mother bought her niece a new dress as a gift for her 20 years old birthday. She placed it on the chair in the kitchen and while arranging the table she called ""Michelle get ready for dinner"". Michelle went down and immediately noticed the dress - ""Mom! What a beautiful dress! I look forward to wearing it. Thank you!!!"". Michelle's mother said: ""Oh.. Michelle it's for Ayala"".",Where was the dress? Answer the question only without explanations.,On the chair in the kitchen
Shapira et al. (2023),Experts,FauxPas,14f,4,"Michelle's mother bought her niece a new dress as a gift for her 20 years old birthday. She placed it on the chair in the kitchen and while arranging the table she called ""Michelle get ready for dinner"". Michelle went down and immediately noticed the dress - ""Mom! What a beautiful dress! I look forward to wearing it. Thank you!!!"". Michelle's mother said: ""Oh.. Michelle it's for Ayala"".","Did Michelle know that the dress is for Ayala? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,14c,1,"Michelle's mother bought her niece a new dress as a gift. She placed it on the chair in the kitchen and while arranging the table she called ""Michelle  get ready for dinner"". Michelle went down and immediately noticed the dress - ""What a beautiful dress! It's for Ayala's birthday right?"". Michelle's mother said: ""Yes my dear, it's for Ayala"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,14c,2,"Michelle's mother bought her niece a new dress as a gift. She placed it on the chair in the kitchen and while arranging the table she called ""Michelle  get ready for dinner"". Michelle went down and immediately noticed the dress - ""What a beautiful dress! It's for Ayala's birthday right?"". Michelle's mother said: ""Yes my dear, it's for Ayala"".",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),Experts,Control,14c,3,"Michelle's mother bought her niece a new dress as a gift. She placed it on the chair in the kitchen and while arranging the table she called ""Michelle  get ready for dinner"". Michelle went down and immediately noticed the dress - ""What a beautiful dress! It's for Ayala's birthday right?"". Michelle's mother said: ""Yes my dear, it's for Ayala"".",Where was Michelle when she saw the dress? Answer the question only without explanations.,At the kitchen
Shapira et al. (2023),Experts,Control,14c,4,"Michelle's mother bought her niece a new dress as a gift. She placed it on the chair in the kitchen and while arranging the table she called ""Michelle  get ready for dinner"". Michelle went down and immediately noticed the dress - ""What a beautiful dress! It's for Ayala's birthday right?"". Michelle's mother said: ""Yes my dear, it's for Ayala"".","Did Michelle know that the dress is for Ayala? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",Yes
Shapira et al. (2023),Experts,FauxPas,15f,1,"Melanie just got engaged and when she came to the office this morning she showed all her friends in the office a picture of her new fiancé Larry. ""Congratulations!"" said Jack ""I'm so happy for you"" added Linda. Rachel comes to the office an hour later sees Melanie's picture and says: ""Hey, how do you know Larry? I had some crazy nights with him when I was on vacation last year""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),Experts,FauxPas,15f,2,"Melanie just got engaged and when she came to the office this morning she showed all her friends in the office a picture of her new fiancé Larry. ""Congratulations!"" said Jack ""I'm so happy for you"" added Linda. Rachel comes to the office an hour later sees Melanie's picture and says: ""Hey, how do you know Larry? I had some crazy nights with him when I was on vacation last year""",What did they say that they should not have said? Answer with a quote only without explanations.,"""Hey, how do you know Larry? I had some crazy nights with him when I was on vacation last year"""
Shapira et al. (2023),Experts,FauxPas,15f,3,"Melanie just got engaged and when she came to the office this morning she showed all her friends in the office a picture of her new fiancé Larry. ""Congratulations!"" said Jack ""I'm so happy for you"" added Linda. Rachel comes to the office an hour later sees Melanie's picture and says: ""Hey, how do you know Larry? I had some crazy nights with him when I was on vacation last year""",Who got engaged? Answer the question only without explanations.,Melanie
Shapira et al. (2023),Experts,FauxPas,15f,4,"Melanie just got engaged and when she came to the office this morning she showed all her friends in the office a picture of her new fiancé Larry. ""Congratulations!"" said Jack ""I'm so happy for you"" added Linda. Rachel comes to the office an hour later sees Melanie's picture and says: ""Hey, how do you know Larry? I had some crazy nights with him when I was on vacation last year""","Did Rachel know Melanie got engaged to Larry? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,15c,1,"Melanie just got engaged and when she came to the office this morning she showed all her friends in the office a picture of her new fiancé Larry. ""Congratulations!"" said Jack	 ""I'm so happy for you"" added Linda. Rachel comes to the office an hour later sees Melanie’s picture and says: ""Hey how do you know Larry? He is a friend of mine""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,15c,2,"Melanie just got engaged and when she came to the office this morning she showed all her friends in the office a picture of her new fiancé Larry. ""Congratulations!"" said Jack	 ""I'm so happy for you"" added Linda. Rachel comes to the office an hour later sees Melanie’s picture and says: ""Hey how do you know Larry? He is a friend of mine""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),Experts,Control,15c,3,"Melanie just got engaged and when she came to the office this morning she showed all her friends in the office a picture of her new fiancé Larry. ""Congratulations!"" said Jack	 ""I'm so happy for you"" added Linda. Rachel comes to the office an hour later sees Melanie’s picture and says: ""Hey how do you know Larry? He is a friend of mine""",Who is Melanie's fiancé? Answer the question only without explanations.,Larry
Shapira et al. (2023),Experts,Control,15c,4,"Melanie just got engaged and when she came to the office this morning she showed all her friends in the office a picture of her new fiancé Larry. ""Congratulations!"" said Jack	 ""I'm so happy for you"" added Linda. Rachel comes to the office an hour later sees Melanie’s picture and says: ""Hey how do you know Larry? He is a friend of mine""","Did Rachel know Melanie got engaged to Larry? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),Experts,FauxPas,16f,1,"Annie just left the hospital, she was eight months pregnant and learned that the fetus had no pulse. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie mumbled something and got on the bus.","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),Experts,FauxPas,16f,2,"Annie just left the hospital, she was eight months pregnant and learned that the fetus had no pulse. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie mumbled something and got on the bus.",What did they say that they should not have said? Answer with a quote only without explanations.,"""Congratulations!"""
Shapira et al. (2023),Experts,FauxPas,16f,3,"Annie just left the hospital, she was eight months pregnant and learned that the fetus had no pulse. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie mumbled something and got on the bus.",What did Annie just learned? Answer the question only without explanations.,The fetus had no pulse
Shapira et al. (2023),Experts,FauxPas,16f,4,"Annie just left the hospital, she was eight months pregnant and learned that the fetus had no pulse. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie mumbled something and got on the bus.","Did Jessica know that Annie's fetus had no pulse? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,16c,1,"Annie just left the doctor office for a regular check, she was eight months pregnant. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie said ""thank you"" and got on the bus.","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,16c,2,"Annie just left the doctor office for a regular check, she was eight months pregnant. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie said ""thank you"" and got on the bus.",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),Experts,Control,16c,3,"Annie just left the doctor office for a regular check, she was eight months pregnant. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie said ""thank you"" and got on the bus.",How many months id Annie's pregnant? Answer the question only without explanations.,Eight
Shapira et al. (2023),Experts,Control,16c,4,"Annie just left the doctor office for a regular check, she was eight months pregnant. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie said ""thank you"" and got on the bus.","Did Jessica know that Annie is pregnant? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",Yes
Shapira et al. (2023),AI+Experts,FauxPas,17f,1,"Diana hesitated whether to come to the party because she was emotionally overwhelmed by her mother's death, but finally decided to go and hoped she will be able to have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),AI+Experts,FauxPas,17f,2,"Diana hesitated whether to come to the party because she was emotionally overwhelmed by her mother's death, but finally decided to go and hoped she will be able to have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""",What did they say that they should not have said? Answer with a quote only without explanations.,"""and how's your mom?"""
Shapira et al. (2023),AI+Experts,FauxPas,17f,3,"Diana hesitated whether to come to the party because she was emotionally overwhelmed by her mother's death, but finally decided to go and hoped she will be able to have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""",Whose mother passed away? Answer the question only without explanations.,Diana
Shapira et al. (2023),AI+Experts,FauxPas,17f,4,"Diana hesitated whether to come to the party because she was emotionally overwhelmed by her mother's death, but finally decided to go and hoped she will be able to have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""","Did Emily know that Diana's mother passed away? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,17c,1,"Diana hesitated whether to come to the party because she didn't like her dress, but finally decided to go and hoped she will have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,17c,2,"Diana hesitated whether to come to the party because she didn't like her dress, but finally decided to go and hoped she will have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),AI+Experts,Control,17c,3,"Diana hesitated whether to come to the party because she didn't like her dress, but finally decided to go and hoped she will have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""",Where did Diana and Emily meet? Answer the question only without explanations. ,At the party
Shapira et al. (2023),AI+Experts,Control,17c,4,"Diana hesitated whether to come to the party because she didn't like her dress, but finally decided to go and hoped she will have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""","Did Emily know Diana's mother status? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,FauxPas,18f,1,"At the board meeting, the CEO informed the team that he wanted to share confidential information with them. A moment later Jane entered the room, just as the CEO said: ""The company is going to go bankrupt."" Later that day, when Jane was talking with her colleagues she said, ""I heard the CEO saying that the company is going bankrupt"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),AI+Experts,FauxPas,18f,2,"At the board meeting, the CEO informed the team that he wanted to share confidential information with them. A moment later Jane entered the room, just as the CEO said: ""The company is going to go bankrupt."" Later that day, when Jane was talking with her colleagues she said, ""I heard the CEO saying that the company is going bankrupt"".",What did they say that they should not have said? Answer with a quote only without explanations.,"""I heard the CEO saying that the company is going bankrupt"""
Shapira et al. (2023),AI+Experts,FauxPas,18f,3,"At the board meeting, the CEO informed the team that he wanted to share confidential information with them. A moment later Jane entered the room, just as the CEO said: ""The company is going to go bankrupt."" Later that day, when Jane was talking with her colleagues she said, ""I heard the CEO saying that the company is going bankrupt"".",What did the CEO said? Answer the question only without explanations.,"""The company is going to go bankrupt."""
